,mse,rmse,mae,mape,dtw_cru,dtw_norm,frechet_xy,edr_x,edr_y,pearson_x,pearson_y,lag_x_ms,lag_y_ms
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.11441072418678257,0.2813746599999455,0.12887129722179072,172.19443725805561,16.03748332374184,0.0678225330406331,0.13751887377445635,81.175,79.82,0.5104078973424154,0.5162097629961127,-85.05,-36.35
std,0.11478882903660319,0.18781453403795342,0.09772782016833127,651.1420430416165,9.651850614047172,0.03998617763078313,0.07320183420156742,70.082750851882,72.02663004358482,0.4552748335050764,0.46056483590980357,1350.1803525768266,1285.612296330615
min,6.121139730023786e-06,0.0024740937189249,0.0015067764808751,1.2393932281701705,0.3160779460194168,0.0010822786430658,0.0024066924498876,0.0,0.0,-0.939472852598147,-0.9006196559311028,-10450.0,-9750.0
5%,0.000142249127275275,0.01192680533021265,0.00557544343296701,6.099975489573377,1.4557832638752073,0.00654153159452159,0.013006863578192395,0.0,0.0,0.0,0.0,-1200.0,-1150.0
50%,0.0676386173626303,0.26007425354497365,0.1083845157137263,85.12971298127079,16.518742350466297,0.0711864123434823,0.1509322835102476,63.0,60.0,0.6832989022852027,0.7111019156769998,0.0,0.0
95%,0.29782922736851386,0.5457372136688561,0.2851369670584644,477.05938810531705,31.54654599831742,0.1278026257972886,0.24223361635171295,204.0,206.0,0.9995159846336791,0.999391358701538,1050.0,1052.4999999999977
max,0.5600259478831172,0.7483488143126287,0.4137383900883912,17584.012721056926,39.755325164389866,0.156492491865376,0.292534339373905,221.0,221.0,0.9999999248983236,0.9999991697561084,9850.0,9850.0
