epoch,mse,rmse,mae,mape,dtw_cru,dtw_medio
1,8.275505081201118e-08,0.0002876717771869153,0.00012999911268707365,51.3656005859375,0.13229532539844513,0.0007229252754013396
2,8.275905827304086e-08,0.00028767873300239444,0.00016199603851418942,71.09516906738281,0.1504490226507187,0.0007485026002523317
3,4.188905222690664e-07,0.0006472175009548664,0.00038104006671346724,118.1657943725586,0.3368254005908966,0.0016841270029544831
4,1.2764135135512333e-06,0.001129784737713635,0.0007102203089743853,157.56643676757812,0.5921107530593872,0.002960553765296936
5,2.899340188378119e-06,0.0017027448629960418,0.0010889640543609858,203.65919494628906,0.8963637351989746,0.004481818675994873
6,4.148935659031849e-06,0.002036893740296364,0.0013233147328719497,5907.740234375,1.0822117328643799,0.005384137974449651
7,5.3418511924974155e-06,0.0023112446069717407,0.0015155462315306067,1426.7200927734375,1.220206618309021,0.006101033091545105
8,7.66762241255492e-06,0.002769047161564231,0.0018165891524404287,454.9129943847656,1.4624090194702148,0.007312045097351074
9,1.061675175151322e-05,0.0032583356369286776,0.002139151096343994,597.5874633789062,1.7233405113220215,0.008616702556610107
10,1.3160626622266136e-05,0.0036277577746659517,0.0023811752907931805,8808.2470703125,1.9182039499282837,0.009591019749641418
11,1.6188176232390106e-05,0.0040234532207250595,0.0026391237042844296,14150.5556640625,2.1376912593841553,0.010635279897433608
12,1.9249999240855686e-05,0.0043874820694327354,0.002877402352169156,5262.2587890625,2.3208420276641846,0.011604210138320923
13,2.3221038645715453e-05,0.0048188213258981705,0.003158224280923605,644.2047119140625,2.5493476390838623,0.012746738195419311
14,2.6494415578781627e-05,0.0051472727209329605,0.003370177699252963,321.69842529296875,2.736499071121216,0.013614423239409035
15,3.077656583627686e-05,0.005547663196921349,0.003627183847129345,232.5550079345703,2.934683084487915,0.014673415422439575
16,3.380373527761549e-05,0.005814097821712494,0.003827018430456519,209.51950073242188,3.0764572620391846,0.015382286310195923
17,3.759493847610429e-05,0.006131471134722233,0.004012780264019966,188.76771545410156,3.2439606189727783,0.016219803094863892
18,4.300615546526387e-05,0.006557907909154892,0.004283084999769926,178.85617065429688,3.486738681793213,0.017346958615886632
19,4.7766970965312794e-05,0.006911365315318108,0.004508546553552151,157.34584045410156,3.6565134525299072,0.018282567262649537
20,5.478911043610424e-05,0.007401966489851475,0.004816009663045406,174.97030639648438,3.916367530822754,0.019581837654113768
21,6.103480700403452e-05,0.007812477648258209,0.005122066475450993,186.55142211914062,4.154239177703857,0.02066785660549183
22,6.943586777197197e-05,0.008332818746566772,0.005475345999002457,191.20883178710938,4.408833026885986,0.02204416513442993
23,7.895175804151222e-05,0.008885480463504791,0.005832198541611433,200.65374755859375,4.701271057128906,0.023506355285644532
24,8.632831304566935e-05,0.009291303344070911,0.0060692294500768185,198.56028747558594,4.916202068328857,0.024581010341644286
25,9.303056867793202e-05,0.009645235724747181,0.006293666083365679,212.1103057861328,5.1291303634643555,0.025518061509772913
26,0.00010108320566359907,0.01005401462316513,0.006605086382478476,235.7410430908203,5.319293022155762,0.02659646511077881
27,0.00011087319580838084,0.010529634542763233,0.006877057254314423,233.00352478027344,5.571537017822266,0.02785768508911133
28,0.00012175903248135,0.011034447699785233,0.007200342603027821,254.85543823242188,5.867501735687256,0.029191550923817193
29,0.00013360654702410102,0.011558829806745052,0.007572299335151911,345.35552978515625,6.1462016105651855,0.030578117465498437
30,0.00014741737686563283,0.012141555547714233,0.007929446175694466,427.9051208496094,6.424070358276367,0.03212035179138183
31,0.0001577289804117754,0.012559019960463047,0.008238707669079304,563.3545532226562,6.645283222198486,0.03322641611099243
32,0.00016945941024459898,0.013017657212913036,0.008515855297446251,1840.58935546875,6.887988567352295,0.034439942836761474
33,0.00017855825717560947,0.01336256880313158,0.008756292052567005,4582.0791015625,7.105894088745117,0.03535270690917969
34,0.00019202915427740663,0.013857458718121052,0.009068135172128677,2817.13916015625,7.3321213722229,0.036660606861114504
35,0.00021070631919428706,0.014515726827085018,0.00949996430426836,2005.3480224609375,7.6802849769592285,0.03840142488479614
