,count,mean,std,min,5%,25%,50%,75%,95%,max
epoch,1000.0,500.5,288.8194360957494,1.0,50.95,250.75,500.5,750.25,950.05,1000.0
mse,1000.0,0.15559172451369466,0.102490945906058,2.423261979547501e-05,0.021527528081170137,0.06621202969063265,0.15022900156728952,0.22169827497158615,0.33198034150905986,0.5706447498209681
rmse,1000.0,0.36944145670848105,0.13828903946895957,0.0049226638921903,0.14672259721623027,0.25731683527803567,0.3875937039977825,0.47084843569215584,0.5761771144345699,0.7554103188472925
mae,1000.0,0.17583166526617083,0.08438397683095632,0.003101811148041,0.05224162217735252,0.10628934825825492,0.17666466558999455,0.23642693219983932,0.3179419555602741,0.4385432933712037
mape,1000.0,280.86053344992797,1984.9757420151236,6.8902699535274685,35.425853645152046,79.74881129566765,124.36932802410865,209.21971241691506,645.1257814954805,60956.135850458566
dtw_cru,1000.0,17.06036436003635,10.729478267988547,0.2650079797492372,1.5502598163584367,7.3107096907083005,17.478760329234177,24.693561965011938,34.94840086562688,47.168081609162286
dtw_norm,1000.0,0.06457261073072422,0.04038346817999558,0.0009851597760194,0.005946849226159056,0.027791023621622973,0.06583191040016706,0.09627146763394379,0.13264524104781308,0.1713445064682448
frechet_xy,1000.0,0.1366511275760697,0.07576889363052201,0.0028518123035571,0.01290491593168836,0.06851370920552938,0.14796812322943265,0.19608793324060245,0.2436354628385597,0.3185985483578808
edr_x,1000.0,116.917,58.35513201452322,1.0,41.0,68.0,103.0,171.0,214.0,222.0
edr_y,1000.0,113.468,57.08242618686928,0.0,39.0,66.0,98.0,168.0,211.0,221.0
pearson_x,1000.0,0.32021631866058653,0.37172544139359764,-0.9942843532593912,0.0,0.0,0.2318151426214994,0.657547503280666,0.8935239640264007,0.997765883185068
pearson_y,1000.0,0.3139605009910094,0.3667081212514386,-0.9995916132607002,0.0,0.0,0.1883205815488658,0.6420513047389053,0.891797666278604,0.9986982289105756
lag_x_ms,1000.0,1619.1,1504.8869973771702,-8050.000000000001,0.0,850.0,1500.0,2200.0,3652.4999999999977,9650.0
lag_y_ms,1000.0,1615.95,1315.978684248874,-6550.0,0.0,900.0,1550.0,2150.0,3450.0,9750.0
