epoch,mse,rmse,mae,mape,dtw_cru,dtw_norm,frechet_xy,edr_x,edr_y,pearson_x,pearson_y,lag_x_ms,lag_y_ms
1,0.009999640502799154,0.0999982024978407,0.04323455005400242,161.42137438601424,10.462053566989784,0.04691503841699455,0.23854017554482804,1.0,46.0,0.0,0.0,50.0,-1650.0
2,0.15122336564996838,0.388874485727681,0.18919976717781284,288.2934723308997,18.93823798998306,0.08306244732448712,0.14167447368452776,143.0,109.0,0.0,0.0,-50.0,-50.0
3,0.06045125913970624,0.2458683776733117,0.10687119614407285,205.95047240048808,13.664218927145791,0.05600089724240078,0.13995015101715416,49.0,36.0,0.7708671434415683,0.82437455076549,-750.0,-550.0
4,0.003836023695559804,0.06193564156089613,0.026189864611467033,56.15581512331993,5.161537805067345,0.022539466397673995,0.06175532680433033,17.0,13.0,0.0,0.0,50.0,50.0
5,2.3364743110798917e-05,0.004833709042836455,0.0025730223026354682,2.5550986871132624,2.343430314770556,0.010323481562865885,0.015214507924242624,1.0,1.0,0.0,0.0,50.0,50.0
6,0.00014236374487701348,0.011931627922333711,0.006421996596191108,19.88417422371572,3.0929483586711877,0.013565562976628016,0.022334453637436524,0.0,0.0,0.9997559492327034,0.9988863249454446,0.0,0.0
7,0.21830940761847703,0.467235922868177,0.21809013141436384,159.38674415843505,23.41463238922757,0.10406503284101143,0.1559128351936838,148.0,126.0,0.9868980288929149,0.9685175386841248,0.0,0.0
8,0.23504630244362226,0.48481574071354394,0.21995582142428982,119.02752008820686,28.61296346950228,0.12124137063348424,0.21881688566156068,88.0,179.0,0.0,0.0,350.0,50.0
9,0.24481751194105897,0.49479037171418255,0.2499692308294748,115.11041326677274,23.12954650691093,0.09034979104262082,0.18367378602307094,65.0,189.0,0.0,0.0,-450.0,-700.0
10,0.27668712362369047,0.5260105736805016,0.2837214565407942,142.31001817250277,24.355692301055562,0.09190827283417194,0.18355770146133069,80.0,190.0,0.7873519815785693,0.6885352991681118,-650.0,-1000.0
11,0.056331785316474314,0.2373431804718103,0.12267865026890565,62.741899642168555,22.675636858633577,0.08621915155373984,0.16705777775785144,70.0,216.0,0.0,0.0,-1500.0,-1100.0
12,0.030325634177519763,0.1741425685394578,0.04875728401388135,40.99600772759949,3.3189329423174483,0.014244347391920379,0.07564741226346436,16.0,19.0,0.9031477442832142,0.8830245793102878,-250.0,-350.0
13,9.70580903751127e-05,0.009851806452377793,0.005065505227266991,15.151889405317595,1.4233506118774637,0.006161690960508501,0.013915477217623281,0.0,0.0,0.999080230603013,0.9986949524650213,0.0,0.0
14,0.002645817456960722,0.05143751021346894,0.006597356038463457,62.41241477905722,1.1495377852741924,0.005154877960870818,0.005559880229833309,0.0,0.0,0.999387955743783,0.9995417068627082,0.0,0.0
15,2.8547687576683502e-05,0.005343003610019696,0.0032587949466565576,2.2126865858816935,1.2473018496338855,0.005568311828722703,0.006103883499809297,0.0,0.0,0.9989586295730012,0.9983476774559706,0.0,0.0
16,0.00045117969760899695,0.02124099097521104,0.009962631522364075,20.704719984055572,2.1080279196711214,0.009369012976316095,0.017657947524008056,1.0,1.0,0.0,0.0,-50.0,-50.0
17,0.2663851383576842,0.516125118898203,0.2394215953569652,86.07583433838414,19.560924702317667,0.0865527641695472,0.12394471298348003,158.0,22.0,0.0,0.0,50.0,50.0
18,0.07052408754410752,0.2655637165429561,0.09666510762253795,61.96080329151374,11.210316624238207,0.04198620458516182,0.20577053399766546,81.0,77.0,0.6602809818998834,0.6276455495684129,-950.0,-1200.0
19,0.005597625794690292,0.07481728272725689,0.012992723378384098,12.650596746230436,0.9317414992912643,0.004104588102604689,0.01190706717478155,3.0,3.0,0.0,0.0,-50.0,-50.0
20,8.90507212681055e-05,0.00943666897099318,0.005576955637948405,6.840259838660715,1.0107215455461298,0.004532383612314483,0.005682400171170731,0.0,0.0,0.9993241066465255,0.9993331888067591,0.0,0.0
21,8.301666077478693e-05,0.009111347912070251,0.005020179866834815,4.051371256641971,1.5701678635870149,0.00697852383816451,0.012442885782225495,1.0,1.0,0.0,0.0,-50.0,-50.0
22,0.23279401049817766,0.4824873164117143,0.22501998602810142,336.3808811843153,16.908905750604237,0.07582468946459299,0.15280478164987168,154.0,16.0,0.9778659991553899,0.9926216242504823,0.0,0.0
23,0.051841578323800964,0.22768745754608655,0.07574635332181155,120.2023884806612,8.89853675337716,0.0360264645885715,0.17591859779506364,69.0,39.0,0.0,0.0,450.0,150.0
24,0.18606459180201504,0.4313520508842111,0.20719115075433556,379.51232066532776,24.455149560679637,0.10725942789771771,0.17916091365289552,128.0,33.0,0.0,0.0,-50.0,-850.0
25,0.1730882399402293,0.4160387481235724,0.1909496237611381,120.1298722434012,26.109336288411477,0.11110355867409138,0.19936842977652136,58.0,178.0,0.8123570418655509,0.8205914231724755,550.0,350.0
26,0.18666166074608834,0.43204358662765535,0.22494572803304183,192.63182350527896,28.050147011160348,0.12248972493956484,0.16204968355464283,157.0,69.0,0.0,0.0,50.0,0.0
27,0.05906979175373116,0.24304277762100063,0.08418288803013757,50.169646250072134,12.25123025274773,0.04658262453516247,0.25345441938338364,82.0,74.0,0.0,0.0,1000.0,800.0
28,3.327418524711611e-05,0.00576837804301314,0.0032091635696179974,4.633400274267515,1.8118332599536344,0.008198340542776626,0.008446135628833524,0.0,0.0,0.9972932818833423,-0.9006196559311028,0.0,-8450.0
