timestamp,v0,v1
2025-06-03T22:20:23.219550,-5.074570913390906e-06,-2.892312384263405e-05
2025-06-03T22:20:23.251597,9.073016353699435e-06,-0.0006825091366981246
2025-06-03T22:20:23.301191,2.724026997675758e-05,-0.0005002048059774472
2025-06-03T22:20:23.349388,3.2121901375204e-05,-0.0006198484819844246
2025-06-03T22:20:23.401473,2.1292792975948396e-05,-0.0006669038286383063
2025-06-03T22:20:23.445052,2.3498153144617946e-05,-0.000740476484763783
2025-06-03T22:20:23.501171,1.0910841569223094e-05,-0.0006983076453660612
2025-06-03T22:20:23.542299,8.940293274431787e-06,-0.0007520146497187587
2025-06-03T22:20:23.602192,-2.4766025262268944e-05,-0.0007350449683234221
2025-06-03T22:20:23.651484,-2.6008085079695183e-05,-0.0007052207422383453
2025-06-03T22:20:23.695055,-2.175419855458005e-05,-0.0006956927439394057
2025-06-03T22:20:23.745136,-1.9605388874947027e-05,-0.0006564279406332966
2025-06-03T22:20:23.793414,-2.09084890076723e-05,-0.0007375784023898124
2025-06-03T22:20:23.841501,1.3669085858320448e-07,-8.088777716365758e-05
2025-06-03T22:20:23.893601,4.053547187352673e-06,-7.168912374404145e-05
2025-06-03T22:20:23.943396,1.8581781824702794e-05,-0.0007579656088606724
2025-06-03T22:20:23.991558,1.3602322645193041e-05,-0.0007242528886248451
2025-06-03T22:20:24.043349,2.17447715307592e-05,-0.0006849884052103777
2025-06-03T22:20:24.092420,1.0214581046123243e-06,-1.4486746368540075e-05
2025-06-03T22:20:24.143540,-3.934367781869856e-06,-5.054894683136979e-05
2025-06-03T22:20:24.192157,-1.973799722191241e-05,-0.00019675679156010452
2025-06-03T22:20:24.242503,-2.840627455849105e-06,-4.4871968928160536e-05
2025-06-03T22:20:24.294122,-4.226441831440417e-06,-6.30870843505349e-05
2025-06-03T22:20:24.345196,-7.82597063821964e-06,-1.7112983300696148e-05
2025-06-03T22:20:24.391421,-1.228536402330169e-05,-0.0004645214611822129
2025-06-03T22:20:24.442492,-2.1729235371248016e-05,-0.00023768655304811279
2025-06-03T22:20:24.493575,-2.3298023479792603e-05,-0.00022559021810910466
2025-06-03T22:20:24.546349,-2.4906520047514212e-05,-0.0002608375409306948
2025-06-03T22:20:24.591451,-2.467030609826719e-05,-0.000314928677587897
2025-06-03T22:20:24.642534,-2.5234901611523308e-05,-0.00026618873249579996
2025-06-03T22:20:24.692316,-2.707372304721203e-05,-0.00020099731795931473
2025-06-03T22:20:24.742418,-2.0287182117128612e-05,-0.0001672618611653541
2025-06-03T22:20:24.797111,-1.4517159268852684e-05,-0.0007027692147083381
2025-06-03T22:20:24.841274,-1.4227939917639166e-05,-0.0006920987654438237
2025-06-03T22:20:24.892570,-2.2829720256585196e-05,-0.000642376959845494
2025-06-03T22:20:24.943135,-2.2894635270346715e-05,-0.0007457453566359469
2025-06-03T22:20:24.993395,-1.6001138209765902e-05,-0.0007459866359349629
2025-06-03T22:20:25.040463,-1.6048225874999897e-05,-0.0007028149106892354
2025-06-03T22:20:25.091554,-1.0018742454664465e-05,-0.0007014984083486644
2025-06-03T22:20:25.144124,-2.8628789098401203e-05,-0.0002913569470824675
2025-06-03T22:20:25.195772,-3.097273551533149e-05,-0.0003566996928763935
2025-06-03T22:20:25.241393,5.985137850389235e-07,-9.168219429485452e-05
2025-06-03T22:20:25.292466,1.4798648657736254e-05,-0.00013120031253866313
2025-06-03T22:20:25.342537,4.613427057433452e-06,-9.354379827255305e-05
2025-06-03T22:20:25.392430,-1.4392870497639783e-06,-2.1509077593063837e-05
2025-06-03T22:20:25.441517,-3.2649381159094764e-05,-0.0007019191784133997
2025-06-03T22:20:25.493593,-2.9126939515368114e-05,-0.0006974987480860599
2025-06-03T22:20:25.540176,-2.090336346132582e-05,-0.0007089624582169928
2025-06-03T22:20:25.590389,-6.013907720143997e-06,-0.0007213594180388722
2025-06-03T22:20:25.641461,-1.2763601918452697e-05,-0.0007340578761899452
2025-06-03T22:20:25.690538,-2.867899933779625e-05,-0.0006145153778604195
2025-06-03T22:20:25.741615,-3.485946012658612e-05,-0.0006684118752659047
