,count,mean,std,min,5%,25%,50%,75%,95%,max
epoch,1000.0,500.5,288.8194360957494,1.0,50.95,250.75,500.5,750.25,950.05,1000.0
mse,1000.0,0.11441072418678257,0.11478882903660319,6.121139730023786e-06,0.000142249127275275,0.01045869747301575,0.0676386173626303,0.19822550429967306,0.29782922736851386,0.5600259478831172
rmse,1000.0,0.2813746599999455,0.18781453403795342,0.0024740937189249,0.01192680533021265,0.10226776334740181,0.26007425354497365,0.4452252124423694,0.5457372136688561,0.7483488143126287
mae,1000.0,0.12887129722179072,0.09772782016833127,0.0015067764808751,0.00557544343296701,0.033499944967783926,0.1083845157137263,0.21035886876007262,0.2851369670584644,0.4137383900883912
mape,1000.0,172.19443725805561,651.1420430416165,1.2393932281701705,6.099975489573377,37.080425178087296,85.12971298127079,150.7453211149123,477.05938810531705,17584.012721056926
dtw_cru,1000.0,16.03748332374184,9.651850614047172,0.3160779460194168,1.4557832638752073,7.251661175730952,16.518742350466297,23.62536695184729,31.54654599831742,39.755325164389866
dtw_norm,1000.0,0.0678225330406331,0.03998617763078313,0.0010822786430658,0.00654153159452159,0.031953316881868005,0.0711864123434823,0.09926274344563944,0.1278026257972886,0.156492491865376
frechet_xy,1000.0,0.13751887377445635,0.07320183420156742,0.0024066924498876,0.013006863578192395,0.0761864944635777,0.1509322835102476,0.19583850937331276,0.24223361635171295,0.292534339373905
edr_x,1000.0,81.175,70.082750851882,0.0,0.0,13.0,63.0,142.0,204.0,221.0
edr_y,1000.0,79.82,72.02663004358482,0.0,0.0,11.0,60.0,145.0,206.0,221.0
pearson_x,1000.0,0.5104078973424154,0.4552748335050764,-0.939472852598147,0.0,0.0,0.6832989022852027,0.970231201003608,0.9995159846336791,0.9999999248983236
pearson_y,1000.0,0.5162097629961127,0.46056483590980357,-0.9006196559311028,0.0,0.0,0.7111019156769998,0.975979035303336,0.999391358701538,0.9999991697561084
lag_x_ms,1000.0,-85.05,1350.1803525768266,-10450.0,-1200.0,-50.0,0.0,50.0,1050.0,9850.0
lag_y_ms,1000.0,-36.35,1285.612296330615,-9750.0,-1150.0,-50.0,0.0,50.0,1052.4999999999977,9850.0
