scenario,metric,mean,std,median,q1,q3,N
normal,dtw_cru,16.03748332374184,9.651850614047172,16.518742350466297,7.251661175730952,23.62536695184729,1000
normal,dtw_norm,0.0678225330406331,0.03998617763078313,0.0711864123434823,0.031953316881868005,0.09926274344563944,1000
normal,edr_x,81.175,70.082750851882,63.0,13.0,142.0,1000
normal,edr_y,79.82,72.02663004358482,60.0,11.0,145.0,1000
normal,frechet_xy,0.13751887377445635,0.07320183420156742,0.1509322835102476,0.0761864944635777,0.19583850937331276,1000
normal,lag_avg_ms,-60.7,1001.2863398320853,0.0,-100.0,50.0,1000
normal,lag_x_ms,-85.05,1350.1803525768266,0.0,-50.0,50.0,1000
normal,lag_y_ms,-36.35,1285.612296330615,0.0,-50.0,50.0,1000
normal,mae,0.12887129722179072,0.09772782016833127,0.1083845157137263,0.033499944967783926,0.21035886876007262,1000
normal,mape,172.19443725805561,651.1420430416165,85.12971298127079,37.080425178087296,150.7453211149123,1000
normal,mse,0.11441072418678257,0.11478882903660319,0.0676386173626303,0.01045869747301575,0.19822550429967306,1000
normal,pearson_x,0.5104078973424154,0.4552748335050764,0.6832989022852027,0.0,0.970231201003608,1000
normal,pearson_y,0.5162097629961127,0.46056483590980357,0.7111019156769998,0.0,0.975979035303336,1000
normal,rmse,0.2813746599999455,0.18781453403795342,0.26007425354497365,0.10226776334740181,0.4452252124423694,1000
delay,dtw_cru,17.06036436003635,10.729478267988547,17.478760329234177,7.3107096907083005,24.693561965011938,1000
delay,dtw_norm,0.06457261073072422,0.04038346817999558,0.06583191040016706,0.027791023621622973,0.09627146763394379,1000
delay,edr_x,116.917,58.35513201452322,103.0,68.0,171.0,1000
delay,edr_y,113.468,57.08242618686928,98.0,66.0,168.0,1000
delay,frechet_xy,0.1366511275760697,0.07576889363052201,0.14796812322943265,0.06851370920552938,0.19608793324060245,1000
delay,lag_avg_ms,1617.525,1231.2674440972983,1550.0,925.0,2156.25,1000
delay,lag_x_ms,1619.1,1504.8869973771702,1500.0,850.0,2200.0,1000
delay,lag_y_ms,1615.95,1315.978684248874,1550.0,900.0,2150.0,1000
delay,mae,0.17583166526617083,0.08438397683095632,0.17666466558999455,0.10628934825825492,0.23642693219983932,1000
delay,mape,280.86053344992797,1984.9757420151236,124.36932802410865,79.74881129566765,209.21971241691506,1000
delay,mse,0.15559172451369466,0.102490945906058,0.15022900156728952,0.06621202969063265,0.22169827497158615,1000
delay,pearson_x,0.32021631866058653,0.37172544139359764,0.2318151426214994,0.0,0.657547503280666,1000
delay,pearson_y,0.3139605009910094,0.3667081212514386,0.1883205815488658,0.0,0.6420513047389053,1000
delay,rmse,0.36944145670848105,0.13828903946895957,0.3875937039977825,0.25731683527803567,0.47084843569215584,1000
wrong_model,dtw_cru,20.485912172255198,5.314503567524652,20.433035765224712,16.748035789116813,24.174501498060486,1000
wrong_model,dtw_norm,0.08203742543247099,0.02226950319429428,0.08101189293784675,0.06522632535184562,0.09769570757990109,1000
wrong_model,edr_x,117.218,52.3715882827632,119.0,75.0,159.0,1000
wrong_model,edr_y,113.976,51.12483910168494,115.0,73.0,156.0,1000
wrong_model,frechet_xy,0.15937485389398687,0.03692258254552365,0.16275257190963785,0.13700714941237163,0.18246124200314914,1000
wrong_model,lag_avg_ms,402.25,1283.221178945428,75.0,-25.0,756.25,1000
wrong_model,lag_x_ms,384.0,1536.6897589999796,50.0,0.0,600.0,1000
wrong_model,lag_y_ms,420.5,1827.6652073369755,0.0,-12.5,550.0,1000
wrong_model,mae,0.16809446793739283,0.061635172587092106,0.16622928826741246,0.13010205608409783,0.20396042149644272,1000
wrong_model,mape,284.32173277963057,2222.0867596402422,121.05659288240764,82.44987516540766,192.0087290859664,1000
wrong_model,mse,0.142014385214689,0.08308585591886081,0.12985046622006796,0.08625365656530734,0.1850548986683693,1000
wrong_model,pearson_x,0.44594853370267995,0.4328451271812178,0.5601542790744514,0.0,0.8869272903740637,1000
wrong_model,pearson_y,0.4216383247353747,0.44458425251162564,0.48346679255135483,0.0,0.8780565755075335,1000
wrong_model,rmse,0.35890014687203636,0.11497081402685526,0.36034770049061393,0.2936897262937257,0.4301798588576012,1000
