,mse,rmse,mae,mape,dtw_cru,dtw_norm,frechet_xy,edr_x,edr_y,pearson_x,pearson_y,lag_x_ms,lag_y_ms
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.142014385214689,0.35890014687203636,0.16809446793739283,284.32173277963057,20.485912172255198,0.08203742543247099,0.15937485389398687,117.218,113.976,0.44594853370267995,0.4216383247353747,384.0,420.5
std,0.08308585591886081,0.11497081402685526,0.061635172587092106,2222.0867596402422,5.314503567524652,0.02226950319429428,0.03692258254552365,52.3715882827632,51.12483910168494,0.4328451271812178,0.44458425251162564,1536.6897589999796,1827.6652073369755
min,0.0012203759583977,0.0349338798073983,0.0181494945212278,12.645203168709113,4.708235834119948,0.018683475532222,0.0457275465263328,0.0,0.0,-0.8901537203711876,-0.941663590360591,-9450.0,-9900.0
5%,0.024725583491062412,0.1572437063594511,0.06410511192066051,43.320810079339104,11.828639064698134,0.04625912676077838,0.09269591701957015,33.0,33.0,0.0,0.0,-900.0,-900.0
50%,0.12985046622006796,0.36034770049061393,0.16622928826741246,121.05659288240764,20.433035765224712,0.08101189293784675,0.16275257190963785,119.0,115.0,0.5601542790744514,0.48346679255135483,50.0,0.0
95%,0.3006584425881804,0.5483231990547757,0.27215630473600594,651.2193900176651,28.912997744579627,0.11812922599816218,0.21554967289084528,202.0,195.0,0.9773847513082732,0.979614085136079,2450.0,4300.0
max,0.4949345018918657,0.7035158149550482,0.3834278022313644,69389.8858612114,47.31734241647258,0.1662705918679763,0.2696885747993106,221.0,221.0,0.998677263585696,0.9979512018171286,9800.0,9750.0
