epoch,mse,rmse,mae,mape,dtw_cru,dtw_norm,frechet_xy,edr_x,edr_y,pearson_x,pearson_y,lag_x_ms,lag_y_ms
1,0.005174262998576116,0.07193235015329415,0.03791651026257152,63.01997690197252,12.825133898356915,0.053216323229696744,0.1398368479378238,30.0,16.0,0.9913053881116939,0.994522703987526,0.0,0.0
2,0.01672661146270968,0.12933140168849047,0.07253436988391805,40.58098610802525,20.652028671785814,0.08940272152288231,0.10166970786201332,208.0,206.0,0.0,0.0,50.0,-50.0
3,0.1757181554199392,0.41918749435060587,0.18485639172275475,129.13940258503402,23.969514584371357,0.09945856674013011,0.18985757443605217,143.0,132.0,0.8187408572964934,0.8584547806031679,450.0,200.0
4,0.1463812665527408,0.3825980482866331,0.19298193088229496,419.77476678993577,16.826236472608674,0.07379928277459945,0.1967543336120125,52.0,81.0,0.8128013234147943,-0.5533697117595472,0.0,4350.0
5,0.024987368894277225,0.1580739348984431,0.054164342166349605,130.22934545686437,9.061871834359719,0.034853353209075844,0.12201166302739476,64.0,45.0,0.0,0.0,1250.0,1450.0
6,0.09631244350544049,0.3103424616539614,0.13125768061281978,117.66257292426448,14.861922369530362,0.05944768947812145,0.17566542027901563,144.0,57.0,0.9560136025562948,0.9230615054263794,0.0,150.0
7,0.1208663106941235,0.34765832464378515,0.1526946906113155,219.37573179599573,28.709945881332057,0.12374976672987956,0.1944971329430683,182.0,83.0,0.9716520898054856,-0.4209777388120872,0.0,6700.0
8,0.1225085816654257,0.3500122593073358,0.15203701001830308,350.5168565549802,25.751704539877977,0.11052233708102135,0.18838894551238883,157.0,98.0,0.9122958681499802,0.5626868720971664,150.0,0.0
9,0.15324140168244288,0.39146060042160424,0.19407541745262974,175.18742909565205,17.332433786043275,0.06590279006100104,0.15054057477025934,57.0,121.0,0.0,0.0,-700.0,-700.0
10,0.037592881277728425,0.19388883742425303,0.10854078752710675,44.12526169335532,23.529993416205027,0.09227448398511776,0.16770465804442145,173.0,50.0,0.9253170821952966,0.7722748406577963,-100.0,-500.0
11,0.08295513901257791,0.28801933791427603,0.12323385286545843,117.42663293692664,18.38757664579094,0.07384568934052586,0.1918049969943583,125.0,72.0,0.0,0.0,50.0,0.0
12,0.08519414162407792,0.29188035498141685,0.133987158126016,117.31757615652984,15.992648936040265,0.06691484910477098,0.15958781457548102,67.0,100.0,0.9720782286507954,0.21040735270007951,0.0,3600.0
13,0.15057620008945857,0.3880414927420244,0.1841471517771734,179.27528526123865,13.951752673969064,0.04777997491085296,0.07150963357425102,170.0,93.0,0.5221051558881257,0.6081908876209983,1400.0,1350.0
14,0.047296244137898374,0.217476996801727,0.08581421929915321,55.664013049249185,18.474802553916902,0.07861618108049745,0.10587262249671857,136.0,174.0,0.9337318145401159,0.9583787145755465,0.0,0.0
15,0.026504538625096413,0.16280214564033366,0.0752701846558139,101.7783127108747,16.06002591877032,0.06322844849909576,0.1900685069125203,108.0,43.0,0.8670795988682928,0.6630897331786432,0.0,-450.0
16,0.09063202359520614,0.3010515298004748,0.1330908650649688,121.81600710063887,23.253146932196476,0.10569612241907489,0.2472451847588809,79.0,115.0,0.13398379927674528,-0.10850830947561602,1850.0,2250.0
17,0.009409073331529662,0.09700037799683907,0.041584173169619425,13.560934931693893,12.282989800596033,0.0503401221335903,0.057113275234251616,36.0,187.0,0.874230664185002,0.9046320576697677,450.0,200.0
