,count,mean,std,min,5%,25%,50%,75%,95%,max
epoch,1000.0,500.5,288.8194360957494,1.0,50.95,250.75,500.5,750.25,950.05,1000.0
mse,1000.0,0.142014385214689,0.08308585591886081,0.0012203759583977,0.024725583491062412,0.08625365656530734,0.12985046622006796,0.1850548986683693,0.3006584425881804,0.4949345018918657
rmse,1000.0,0.35890014687203636,0.11497081402685526,0.0349338798073983,0.1572437063594511,0.2936897262937257,0.36034770049061393,0.4301798588576012,0.5483231990547757,0.7035158149550482
mae,1000.0,0.16809446793739283,0.061635172587092106,0.0181494945212278,0.06410511192066051,0.13010205608409783,0.16622928826741246,0.20396042149644272,0.27215630473600594,0.3834278022313644
mape,1000.0,284.32173277963057,2222.0867596402422,12.645203168709113,43.320810079339104,82.44987516540766,121.05659288240764,192.0087290859664,651.2193900176651,69389.8858612114
dtw_cru,1000.0,20.485912172255198,5.314503567524652,4.708235834119948,11.828639064698134,16.748035789116813,20.433035765224712,24.174501498060486,28.912997744579627,47.31734241647258
dtw_norm,1000.0,0.08203742543247099,0.02226950319429428,0.018683475532222,0.04625912676077838,0.06522632535184562,0.08101189293784675,0.09769570757990109,0.11812922599816218,0.1662705918679763
frechet_xy,1000.0,0.15937485389398687,0.03692258254552365,0.0457275465263328,0.09269591701957015,0.13700714941237163,0.16275257190963785,0.18246124200314914,0.21554967289084528,0.2696885747993106
edr_x,1000.0,117.218,52.3715882827632,0.0,33.0,75.0,119.0,159.0,202.0,221.0
edr_y,1000.0,113.976,51.12483910168494,0.0,33.0,73.0,115.0,156.0,195.0,221.0
pearson_x,1000.0,0.44594853370267995,0.4328451271812178,-0.8901537203711876,0.0,0.0,0.5601542790744514,0.8869272903740637,0.9773847513082732,0.998677263585696
pearson_y,1000.0,0.4216383247353747,0.44458425251162564,-0.941663590360591,0.0,0.0,0.48346679255135483,0.8780565755075335,0.979614085136079,0.9979512018171286
lag_x_ms,1000.0,384.0,1536.6897589999796,-9450.0,-900.0,0.0,50.0,600.0,2450.0,9800.0
lag_y_ms,1000.0,420.5,1827.6652073369755,-9900.0,-900.0,-12.5,0.0,550.0,4300.0,9750.0
