t,x,y,theta
0.5810321999961161,-2.0948539306364466,3.844987891522694e-05,1.6983443611618495e-05
0.6048187999986112,-2.0948542272408974,3.603819180578869e-05,1.8055557921747134e-05
0.7250402999998187,-2.094849467365106,3.664250502891436e-05,2.7213426304067654e-05
0.7463156000012532,-2.0948636539979284,3.7727029377232024e-05,4.16068889212882e-05
0.7950214000011329,-2.094883457015941,3.906068266989206e-05,6.174563324238557e-05
0.843496800000139,-2.094896252307187,3.836555235028691e-05,8.122299719453923e-05
0.8956462999994983,-2.094910444452531,4.085782091487755e-05,9.800632136026176e-05
0.9432914999997593,-2.094920083335209,4.277969182451616e-05,9.613809417789737e-05
0.9965124000009382,-2.094926696145042,4.3580078892535394e-05,0.0001049977840606715
1.0442126999987522,-2.0949337125357217,4.433298743674873e-05,0.00011699348458320498
1.0956335000009858,-2.094942174954415,4.3442199350752934e-05,0.00012663041620769575
1.1431500999970012,-2.094962709509994,4.467809812236836e-05,0.00012033728524027497
1.1928610999966622,-2.094981813218345,4.502424030694628e-05,0.00010850468493942689
1.2438556999986758,-2.0949956405621086,4.604573768208359e-05,9.92128534038381e-05
1.2935617999974056,-2.095011248376385,4.546570340152725e-05,9.449625112591234e-05
1.343917500002135,-2.0950366075653397,4.839233303185205e-05,9.972340684836224e-05
1.3947782999966876,-2.0950529068327945,4.965329881102927e-05,0.0001149700726955845
1.4426926000014646,-2.0950618490252486,5.060266953705629e-05,0.0001375981651848361
1.4922730999969644,-2.095071407579328,5.188222914208331e-05,0.0001503182313674402
1.5433053000015207,-2.095090505558572,5.366449700554796e-05,0.0001743520079182157
1.591875699996308,-2.0951086472519096,5.551723347952909e-05,0.0001947845025920319
1.6437863999963156,-2.0951182794412677,5.534584421294066e-05,0.00020367139687662344
1.6947765000004438,-2.0951381755393355,5.6957687967157726e-05,0.00021806434534826313
1.7454833000010694,-2.0951501136483937,5.714906171614759e-05,0.00023374127318581746
1.7934607999995933,-2.095164060219312,5.740189384909748e-05,0.00024969661678273485
1.844122199996491,-2.095175580112973,5.7136247798717224e-05,0.0002630222887188721
1.8950256999960402,-2.095191503954939,5.695257501819923e-05,0.0002810906999070874
1.9466490999984671,-2.095200282873402,5.6855449462522224e-05,0.0002897899798509251
1.9940007999975933,-2.0952148789580103,5.712329024908536e-05,0.00029589819104591634
2.044394700002158,-2.0952345466625446,5.822501029085712e-05,0.0003084759513874028
2.0929493000003276,-2.0952496132573355,5.934407886876195e-05,0.00032870478172759095
2.1437471000026562,-2.095261209612242,5.7898341440718425e-05,0.0003343277443975209
2.195239599997876,-2.095268276039836,5.830414566195922e-05,0.00034182754743933004
2.2437998999957927,-2.095276399621966,5.91896986828494e-05,0.0003552512208587653
2.3018251999965287,-2.0952843454215913,5.840845119404734e-05,0.0003681665980029204
2.3514589999977034,-2.095303529382928,5.760717607018208e-05,0.00038365430896686114
2.398703899998509,-2.095321327047398,5.872567046734886e-05,0.00039175369997067176
2.445271299999149,-2.0953414967152426,6.232103340310006e-05,0.0004143808994246701
2.4961201999976765,-2.0953607364562665,6.427872988422077e-05,0.00043003495884314733
2.5485964999970747,-2.095376821961067,6.762641815553854e-05,0.00044419965785550417
2.5999058000015793,-2.095396253709827,7.02997842998269e-05,0.00045608053074443797
2.647294900001725,-2.095410746000897,7.260307667564815e-05,0.0004710467069889949
2.7027072999990196,-2.0954333765742086,7.642441356891705e-05,0.00048466941088858793
2.751003400000627,-2.0954490161900337,8.10382780221312e-05,0.0004916520379298399
2.7969054999994114,-2.0954666031233584,8.035856833684035e-05,0.0004938992996354163
2.847725300001912,-2.095479409999416,7.850297297055218e-05,0.0004951693725096057
2.90408419999585,-2.095495059663441,8.128021727288056e-05,0.0005231708796136011
2.9474390999967,-2.095501990836797,8.139888175259972e-05,0.0005370108766932338
3.000454599998193,-2.0955175544582927,8.458807996644964e-05,0.0005457109466515773
3.0505791999967187,-2.095541299433518,8.866254624837283e-05,0.0005505857657698767
3.096918299997924,-2.0955600521826896,9.120285163195201e-05,0.0005535106379230218
3.1470685999956913,-2.095580139905201,9.320232586944247e-05,0.0005615753790603553
3.1971976999993785,-2.0955996270388004,9.594886320671541e-05,0.0005740016943757588
3.245659899999737,-2.0956196080617264,9.739682350441611e-05,0.0005822949271221381
3.2941368999963743,-2.0956348188197453,9.838035016929172e-05,0.0005912948585556934
3.3422592999995686,-2.095655509699962,0.00010100335225201409,0.0005977596604821269
3.392331600000034,-2.0956749663791348,0.00010384647897383448,0.0006036798009198159
3.445145500001672,-2.095681641349127,0.00010380667333108028,0.0006197612000670723
3.493195499999274,-2.095700480435917,0.00010660193403556946,0.0006353180908762225
3.544941899999685,-2.095722536038432,0.00010954444519342457,0.0006468195137542897
3.593186500002048,-2.0957430671380504,0.00011095161467563053,0.0006676536100014431
3.6434602000008454,-2.0957651892269356,0.00011377686986103138,0.0006847361713472598
3.6945309000002453,-2.0957812069710697,0.00011476858770603713,0.000702457520622511
3.743850699996983,-2.095793400012457,0.00011792316102957848,0.0007193807470100788
3.7929641000009724,-2.095821128722897,0.0001199085821519262,0.0007325749934784592
3.843566899995494,-2.095836736440391,0.0001214653082861945,0.0007376697999147872
3.901545399996394,-2.0958485047512703,0.00012096725296924253,0.000736765366801777
3.94828779999807,-2.095863414526041,0.00012114557404579262,0.0007339271216572438
3.9963601999988896,-2.0958775734562054,0.00012379109499816818,0.0007304488516656502
4.0452049000014085,-2.0958902511854642,0.0001243406601952855,0.0007343072604807345
4.0995410999967135,-2.09590424109004,0.0001270390920376467,0.0007465286318039776
4.144777499997872,-2.095923873640815,0.00012997661077745757,0.0007674119095784796
4.197209099998872,-2.095941508239497,0.0001329378473356007,0.0007607326988342421
4.2530609000023105,-2.0959568000797244,0.00013189308332495304,0.0007557446330844255
