t,wl,wr
0.5810321999961161,-0.00015722336676047066,-0.0007957443777367797
0.6048187999986112,-0.00015436502097658793,-0.0005582457926491344
0.7250402999998187,-0.00013008035920675972,-0.0005515209065868481
0.7463156000012532,-0.00015024836031411526,-0.0005831788692033798
0.7950214000011329,-0.00016121034746695688,-0.0005824105840642048
0.843496800000139,-0.0001540830054621612,-0.0005894720845900866
0.8956462999994983,-0.00025064749181995976,-4.62046678466265e-05
0.9432914999997593,-0.00027109591325318814,-8.928698322918007e-05
0.9965124000009382,-0.0003110975736521902,5.682387422865992e-06
1.0442126999987522,-0.00031664585021632063,1.309409598989203e-06
1.0956335000009858,-0.0003751504372860263,-3.563697966716197e-05
1.1431500999970012,-0.0004380121416366202,-0.0004351165470905694
1.1928610999966622,-0.0004587039202354275,-0.00041831088838848807
1.2438556999986758,-0.00047588014579868734,-0.00041406603407974477
1.2935617999974056,-0.0004533526088655611,-0.000383469922062421
1.343917500002135,-0.00021371545262159958,-0.0006296735088858785
1.3947782999966876,-0.00021193816966286628,-0.0006070668675971846
1.4426926000014646,-0.00021710179442953765,-0.0006007118756420563
1.4922730999969644,-0.00021253124150581547,-0.0005881681099462226
1.5433053000015207,-0.00019615326058381298,-0.000594526957465885
1.591875699996308,-0.00014411267509149614,-0.0005391200392830007
1.6437863999963156,-0.0001236454204165215,-0.0005329515469609664
1.6947765000004438,-0.00013295978690634113,-0.0005585139075941207
1.7454833000010694,-0.00016469910095322574,-0.0005679600248813246
1.7934607999995933,-0.00011949094934485747,-0.0005769843847502047
1.844122199996491,-0.00011915083576367853,-0.0005855332183657056
1.8950256999960402,-0.0001278782801476922,-0.0006025763001254869
1.9466490999984671,-0.00014931592038597733,-0.0004954139885482662
1.9940007999975933,-0.00013408841230193476,-0.0005283077953588997
2.044394700002158,-0.00012498090080652243,-0.0006035649874017784
2.0929493000003276,-0.0002836317488462081,-1.2086709873596063e-05
2.1437471000026562,-0.0003709602109140539,3.5371310786142736e-05
2.195239599997876,-0.0003224590703172761,5.4756444756318444e-06
2.2437998999957927,-0.0003256536559698014,4.3184551029759135e-06
2.3018251999965287,-0.00032493753519993366,5.095211906981321e-06
2.3514589999977034,-0.00039270944265886555,3.0511469746380574e-05
2.398703899998509,-0.00023561244817733743,-0.0007010476784047443
2.445271299999149,-0.0002758549251192611,-0.0006232097500485039
2.4961201999976765,-0.0002893251175067183,-0.0006090863534709174
2.5485964999970747,-0.00028415095414477675,-0.0006163859903941371
2.5999058000015793,-0.0002855437708771693,-0.0006089219292685816
2.647294900001725,-0.00029542622281950476,-0.0005824124120491755
2.7027072999990196,-0.00031157088363441797,-0.0006249808721988416
2.751003400000627,-0.0003138592858020946,-0.0008212553637432454
2.7969054999994114,-0.0004187469462378704,-2.4902137344112628e-05
2.847725300001912,-0.00025997392218100337,-0.0006027205212016607
2.90408419999585,-0.00023589190545173798,-0.0017751301940115494
2.9474390999967,-0.0002665520084237593,-4.4619555978764425e-05
3.000454599998193,-0.0002860801276164007,-0.0006008288553851282
3.0505791999967187,-0.00030483618437132095,-0.0006139562766801548
3.096918299997924,-0.00028060463006686527,-0.0006312523820021274
3.1470685999956913,-0.000424831153938123,-0.0005529223161536992
3.1971976999993785,-0.0002967811081188379,-0.0006364730679734224
3.245659899999737,-0.00030458165198799935,-0.0006156339082869951
3.2941368999963743,-0.00035119563567468574,-0.0005957503107074289
3.3422592999995686,-0.0003623192543282765,-0.0006350922509436231
3.392331600000034,-0.00030979982126901095,-0.0006398854256732745
3.445145500001672,-0.0003523854743303277,-0.0005553432579130105
3.493195499999274,-0.0003996808293442339,-0.000627442651361775
3.544941899999685,-0.000286422594911375,-0.0006199564171133642
3.593186500002048,-0.0003296167043587412,-0.0006136464927632537
3.6434602000008454,-0.0003563135173013464,-0.000585093234481395
3.6945309000002453,-0.00034223676593906743,-0.0006090032543441728
3.743850699996983,-0.0002933271593562225,-0.0005764869954589686
3.7929641000009724,-0.00031662819975961294,-0.0006664143772539319
3.843566899995494,3.1752757315845604e-07,-0.0007902443020607913
3.901545399996394,-3.472618936889703e-05,-0.0008029467819132556
3.94828779999807,6.631626974559216e-07,-0.0007543470010217255
3.9963601999988896,-1.0994045564335811e-05,-0.0007450453438298662
4.0452049000014085,-0.00035339539707307234,0.0014642813969474918
4.0995410999967135,-0.0006335101090270264,3.0794830749217266e-06
4.144777499997872,-0.0006283855112912557,2.1243248017090646e-05
4.197209099998872,-0.0007263359489127752,3.153583718411891e-05
4.2530609000023105,-0.000748498824218833,-0.00010980209839756446
4.301902899998822,-0.0006301721207888491,-7.852912991797817e-06
4.3534617999976035,-0.0002768367215226833,-0.0006193354086326111
4.403518499995698,-0.00038833689930835026,-0.0005422750112330297
4.452790299998014,-0.00031357703507272993,-0.0006419078723084052
4.504233400002704,-0.00047947564101924575,-0.0004757885832820309
4.544282800001383,-5.8634367035078154e-05,-0.0007939014658901241
4.592373899999075,-1.3405065755079817e-05,-0.000805045219279245
4.642246999996132,-0.00040610743049900353,-0.0005194292223130153
4.693334899995534,-0.00038865654859932816,-0.0005409858470070469
4.744081600001664,-0.00039822887046744615,-0.0005344725546474875
4.792045700000017,-0.0003151025674233924,-0.0005851118107125299
4.843620400002692,-0.0006681860214931968,-0.0001789011634172939
4.892031499999575,-3.90754009850947e-05,-0.00030836703449111557
4.944293299995479,-2.6623246355672545e-05,-0.0008050087667504888
4.996003000000201,-3.1544122336327176e-06,-0.000808958282725594
5.049359799995727,-3.329127381446455e-05,-0.0006251312994061648
5.096311799999967,-0.0001611779398099541,-0.00034699153036193037
