epoch,mse,rmse,mae,mape,dtw_cru,dtw_medio
1,0.0,0.0,0.0,0.0,0.0044364784844219685,2.372448387391427e-05
2,2.4327434289261873e-08,0.0001559725496917963,7.230621122289449e-05,27.949512481689453,0.009104317985475063,4.082653805145768e-05
3,2.06330650343034e-08,0.00014364214439410716,6.67600252199918e-05,4.6348419189453125,0.009413985535502434,4.221518177355351e-05
4,2.1971739982973304e-08,0.00014822867524344474,6.866010517114773e-05,2.858482837677002,0.009563254192471504,4.288454794830271e-05
5,2.5664869340857877e-08,0.00016020258772186935,7.459265907527879e-05,2.855158567428589,0.009584236890077591,4.297864076267978e-05
6,2.409150567928009e-08,0.00015521438035648316,7.387166260741651e-05,41.9961051940918,0.009237912483513355,4.1425616517997106e-05
7,2.316500946619726e-08,0.00015220056229736656,7.336471026064828e-05,11.769887924194336,0.010191438719630241,4.570151892210871e-05
8,2.4357255767881725e-08,0.000156068112119101,7.067978731356561e-05,2.6585192680358887,0.00909354630857706,4.096192030890568e-05
9,2.125889508874934e-08,0.00014580429706256837,6.828655023127794e-05,3.4628098011016846,0.010133662261068821,4.56471273021118e-05
10,2.2547407496631422e-08,0.00015015793906059116,7.042392826406285e-05,68.93671417236328,0.010364240035414696,4.668576592529142e-05
11,1.9964263131555526e-08,0.00014129494957160205,6.292489706538618e-05,87.14942169189453,0.00919829960912466,4.1433782023084054e-05
12,2.3904680901409847e-08,0.00015461139264516532,7.280664431164041e-05,30.378734588623047,0.009636306203901768,4.321213544350569e-05
13,1.925572767902395e-08,0.0001387650117976591,6.614156882278621e-05,3.2993979454040527,0.008288116194307804,3.7333856731116236e-05
14,2.022252587607909e-08,0.00014220592856872827,6.90590895828791e-05,2.076822519302368,0.008119055069983006,3.657232013505858e-05
15,1.9173464593791323e-08,0.00013846828369423747,6.564654177054763e-05,1.215709924697876,0.009672440588474274,4.3374173042485534e-05
16,1.9555084662670197e-08,0.00013983949611429125,6.628050323342904e-05,1.3413970470428467,0.008784429170191288,3.9569500766627424e-05
17,2.0485847684881264e-08,0.00014312878192868084,6.621882494073361e-05,1.0652179718017578,0.009263389743864536,4.172698082821863e-05
18,2.1263890204181735e-08,0.00014582143921870738,6.954872515052557e-05,1.091057538986206,0.007993271574378014,3.600572781251358e-05
19,2.2302369728777194e-08,0.0001493397867307067,7.480963540729135e-05,1.284379005432129,0.006997736170887947,3.1521334103098864e-05
20,2.0211066598108118e-08,0.00014216563431546092,6.95682319928892e-05,1.012122392654419,0.007674768101423979,3.4571027483891795e-05
21,2.1021826057676662e-08,0.00014498905511572957,6.659943028353155e-05,0.9367825388908386,0.00933128222823143,4.184431492480462e-05
22,2.258748565964197e-08,0.0001502913364674896,7.365513738477603e-05,1.0459778308868408,0.00918890256434679,4.1205841095725514e-05
23,1.962431817048582e-08,0.00014008682046551257,6.538852903759107e-05,0.9412157535552979,0.008419756777584553,3.7756756850154945e-05
24,1.9677559137676326e-08,0.00014027672295924276,6.454299727920443e-05,0.838503360748291,0.007856800220906734,3.523228798612885e-05
25,1.7550457087622817e-08,0.00013247813330963254,5.852230970049277e-05,0.7690683007240295,0.009792648255825043,4.39132208781392e-05
26,1.9130723671878513e-08,0.00013831385876983404,6.403628503903747e-05,0.9221985936164856,0.009214653633534908,4.1321316742309e-05
27,2.1116946413712867e-08,0.00014531670603901148,6.80156153975986e-05,0.9411488771438599,0.00804718118160963,3.624856388112446e-05
28,2.1002692918159482e-08,0.00014492306218016893,6.970098911551759e-05,1.2292011976242065,0.008447226136922836,3.80505681843371e-05
29,2.1064371580337138e-08,0.00014513569476548582,6.941673200344667e-05,1.3183207511901855,0.009197918698191643,4.1432066208070465e-05
30,2.102701657236139e-08,0.00014500695397146046,7.1101458161138e-05,2.404757499694824,0.0091074975207448,4.102476360695856e-05
31,2.207814553401022e-08,0.00014858716167509556,8.11295976745896e-05,4.101033687591553,0.008678722195327282,3.909334322219496e-05
32,2.293994327828841e-08,0.00015145937504712492,7.403489871649072e-05,6.373169422149658,0.010981441475450993,4.924413217691028e-05
33,2.229956308497094e-08,0.00014933038619346917,6.836241664132103e-05,3.8667871952056885,0.010317204520106316,4.6265491121552984e-05
34,2.2464412552380963e-08,0.00014988132170401514,6.998577009653673e-05,3.1998746395111084,0.01011411938816309,4.555909634307698e-05
35,2.1206023603781432e-08,0.00014562287833541632,7.0736110501457e-05,3.1820614337921143,0.009214121848344803,4.150505337092253e-05
36,2.3315037012139328e-08,0.00015269262075889856,7.411427941406146e-05,3.5107743740081787,0.010275455191731453,4.6078274402383196e-05
37,2.3451045549904848e-08,0.00015313734184019268,7.015448500169441e-05,1.9476350545883179,0.010428407229483128,4.676415797974497e-05
38,2.351125161226264e-08,0.00015333379269577563,7.131148595362902e-05,2.04514479637146,0.010378875769674778,4.65420438102008e-05
39,2.0811761203276546e-08,0.00014426281268242747,6.905937334522605e-05,1.3568217754364014,0.008758892305195332,3.927754396948579e-05
40,2.1746673795064453e-08,0.000147467537317425,7.396962610073388e-05,1.6246283054351807,0.00898714829236269,4.030111341866677e-05
41,2.364465778725844e-08,0.00015376819646917284,7.5276278948877e-05,1.1940441131591797,0.009584775194525719,4.2981054683971836e-05
42,2.4263639986088492e-08,0.00015576790610793978,7.543691754108295e-05,0.963417649269104,0.01031440868973732,4.625295376563821e-05
43,2.660476994265082e-08,0.0001631096820347011,7.36969304853119e-05,0.8759154677391052,0.010150544345378876,4.551813607793218e-05
44,2.19115108279766e-08,0.00014802537043578923,6.733004556735978e-05,0.7892581820487976,0.0082835229113698,3.731316626743153e-05
45,2.1815354855903024e-08,0.0001477002224419266,6.785878940718248e-05,0.8582042455673218,0.010196496732532978,4.572420059431829e-05
46,2.422736855578478e-08,0.00015565143257845193,7.223513239296153e-05,0.9430356025695801,0.009062203578650951,4.063768420919709e-05
47,2.3415653416236637e-08,0.00015302174142561853,7.121435191947967e-05,0.7740731835365295,0.009315230883657932,4.177233580115665e-05
48,1.8057981776564702e-08,0.00013437999587040395,6.126554944785312e-05,0.785774290561676,0.008820733986794949,3.955486092733161e-05
49,2.3377891622544666e-08,0.00015289831208065152,7.082955562509596e-05,0.8714919090270996,0.009729220531880856,4.3628791622784105e-05
50,1.984583519742955e-08,0.0001408752432325855,6.583124195458367e-05,0.8453690409660339,0.008194015361368656,3.674446350389532e-05
