,mse,rmse,mae,mape,dtw_cru,dtw_norm,frechet_xy,edr_x,edr_y,pearson_x,pearson_y,lag_x_ms,lag_y_ms
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.15559172451369466,0.36944145670848105,0.17583166526617083,280.86053344992797,17.06036436003635,0.06457261073072422,0.1366511275760697,116.917,113.468,0.32021631866058653,0.3139605009910094,1619.1,1615.95
std,0.102490945906058,0.13828903946895957,0.08438397683095632,1984.9757420151236,10.729478267988547,0.04038346817999558,0.07576889363052201,58.35513201452322,57.08242618686928,0.37172544139359764,0.3667081212514386,1504.8869973771702,1315.978684248874
min,2.423261979547501e-05,0.0049226638921903,0.003101811148041,6.8902699535274685,0.2650079797492372,0.0009851597760194,0.0028518123035571,1.0,0.0,-0.9942843532593912,-0.9995916132607002,-8050.000000000001,-6550.0
5%,0.021527528081170137,0.14672259721623027,0.05224162217735252,35.425853645152046,1.5502598163584367,0.005946849226159056,0.01290491593168836,41.0,39.0,0.0,0.0,0.0,0.0
50%,0.15022900156728952,0.3875937039977825,0.17666466558999455,124.36932802410865,17.478760329234177,0.06583191040016706,0.14796812322943265,103.0,98.0,0.2318151426214994,0.1883205815488658,1500.0,1550.0
95%,0.33198034150905986,0.5761771144345699,0.3179419555602741,645.1257814954805,34.94840086562688,0.13264524104781308,0.2436354628385597,214.0,211.0,0.8935239640264007,0.891797666278604,3652.4999999999977,3450.0
max,0.5706447498209681,0.7554103188472925,0.4385432933712037,60956.135850458566,47.168081609162286,0.1713445064682448,0.3185985483578808,222.0,221.0,0.997765883185068,0.9986982289105756,9650.0,9750.0
