epoch,mse,rmse,mae,mape,dtw_cru,dtw_norm,frechet_xy,edr_x,edr_y,pearson_x,pearson_y,lag_x_ms,lag_y_ms
14,0.35565904922742614,0.5963715697678974,0.2965128951170438,115.91444015466912,19.580988677933533,0.076788190893857,0.14125115900092136,121.0,49.0,0.3452062841012197,0.8837693191152798,-850.0,100.0
15,0.4814962318362574,0.6938992951691603,0.3835714230514238,214.71127634787246,36.38584556265465,0.129486994884892,0.14240347072510529,206.0,213.0,0.455465633499533,0.44791680345206697,2250.0,2050.0
16,0.033954937819557315,0.18426865663904243,0.05150324369172444,86.04963031131909,9.547400779395328,0.04028439147424189,0.1425563208317051,40.0,63.0,0.0,0.0,250.0,800.0
17,0.09645993379475919,0.3105799958058458,0.13112420256242902,97.09602859678962,5.862015915085737,0.022633266081412112,0.04196917827952477,52.0,52.0,0.7834407015093211,0.7530293857115362,950.0,1000.0
18,0.01378491694028592,0.11740918592804364,0.05225918129853399,56.15319957598859,17.28353082874245,0.06262148850993642,0.08712970678842864,70.0,211.0,0.0,0.0,2000.0,2000.0
19,0.10246228199620533,0.320097300826179,0.12589451402331556,136.77548225473123,6.529509633479162,0.02540665227034693,0.08716293090376177,65.0,84.0,0.0,0.0,1450.0,1400.0
20,0.23463639480626208,0.48439281044030996,0.22885773676007065,88.75145781997983,22.440223805041168,0.08564970917954644,0.1866468604565198,160.0,181.0,0.0,0.0,1350.0,1500.0
21,0.17444068782066702,0.41766097234559396,0.21166378796823807,93.36522026052836,25.101279709029217,0.1024542028939968,0.20185715998844356,206.0,110.0,0.0,0.0,1150.0,850.0
22,0.27463666426976513,0.5240578825566553,0.26472511153014955,131.05534553468289,28.126991412959278,0.09632531305807972,0.1327167222240174,88.0,211.0,0.0,0.0,7300.0,3100.0
23,0.12550113572169938,0.3542613946250697,0.14356441103777257,108.01810517011887,14.865809804245231,0.05465371251560747,0.1484718234654582,95.0,116.0,0.6978396126093772,0.676362496699515,1400.0,1500.0
24,0.09710403336933501,0.3116152007995358,0.12932497196004322,75.64052496702499,5.3482815486007445,0.020973653131767626,0.03560824413692433,47.0,41.0,0.0,0.0,450.0,600.0
25,0.08080120582746488,0.2842555291062337,0.10586342106462916,73.38213446979657,6.89345267405427,0.025721838336023397,0.036966587853678304,87.0,85.0,0.0,0.0,600.0,750.0
26,0.11923701360059669,0.34530712937991404,0.14998592877896127,180.21602183807775,3.738743246784297,0.014547639092545903,0.029715788847702932,61.0,57.0,0.0,0.0,800.0,900.0
27,0.07782068005014083,0.278963581942412,0.09879146493878459,365.25970470861483,2.8930978191847245,0.011526286132210057,0.05922990203439066,47.0,51.0,0.0,0.0,300.0,350.0
28,0.024853964032664495,0.15765140035110534,0.08162692705914487,46.36377342655026,11.87526372245206,0.045325434055160534,0.09074016882842921,202.0,63.0,0.6513515789162905,0.622601102371322,1100.0,1300.0
29,0.10722937073925416,0.3274589603893199,0.12397457153446496,74.30805322529777,5.469511364521977,0.018860384015593024,0.05626840285050462,97.0,115.0,0.0,0.0,2350.0,2050.0
30,0.10471168929342525,0.32359185603693,0.10883822106249505,80.07785184160858,0.7830344029258159,0.0031196589758000636,0.007133814478666538,54.0,56.0,0.8512723414623942,0.8546031327578332,700.0,700.0
31,0.052152492348970084,0.22836920183984985,0.08601663302572582,104.3590541443492,1.02510293389045,0.003674204064123477,0.0053088357328027625,81.0,48.0,0.5725925144286652,0.3878343679300653,2400.0,2800.0
32,0.09737401900234718,0.31204810366728264,0.10308075483754019,287.6611640417954,1.535462410053421,0.005905624654051619,0.013830770398443255,62.0,57.0,0.0,0.0,1500.0,1300.0
33,0.17942293489152153,0.4235834450158806,0.19633460920888923,137.4340446665515,2.9473230897299585,0.010678706846847675,0.02069533495744942,89.0,87.0,0.0,0.0,1750.0,2000.0
34,0.010537816325771426,0.10265386658948325,0.03433906453560106,29.686117596677562,1.0235010157318216,0.0037354051669044584,0.012608380770415609,62.0,52.0,0.0,0.0,2150.0,2350.0
35,0.0808665029870929,0.2843703623570728,0.12690392146407103,126.1984013003425,1.2470343103279755,0.004741575324440972,0.007834755134461947,76.0,74.0,0.671209138412381,0.7113921773393697,1300.0,1250.0
36,0.38960225222727557,0.6241812655209027,0.3074203306369049,106.56529952031124,6.061989069760922,0.0232260117615361,0.03911388382509315,44.0,47.0,0.7672277560233489,0.7614517565470231,350.0,400.0
37,0.2433826252757325,0.4933382463135536,0.27132618404362047,268.38282642948855,24.046839608864698,0.08349597086411353,0.16325732259671719,191.0,170.0,0.2504804342369732,0.41119790691856517,2750.0,2600.0
38,0.24402505047824885,0.4939889173637895,0.2429765072495254,178.27875359611184,44.7878157941464,0.14929271931382132,0.20575141415473056,81.0,218.0,-0.4817309470739653,0.05867898388861969,7400.0,3550.0
39,0.25780192772547605,0.5077419893267406,0.2798398302927569,161.66122984473049,32.169479817751274,0.10343884185772113,0.18218373256100054,183.0,193.0,0.0,0.0,3900.0,4100.0
40,0.2219591838228032,0.47112544382871446,0.2304051171039451,171.33575821136805,25.760389895049975,0.10688958462676339,0.24754734396189496,191.0,92.0,0.0,0.0,100.0,50.0
41,0.28496159839619656,0.5338179449926693,0.289555569593389,136.51206838941735,32.662425661694364,0.11920593307187724,0.22694227566907035,205.0,196.0,0.26879757635970136,0.5657745407152378,2700.0,1950.0
42,0.33461605796220656,0.5784600746483776,0.3386990099062353,2660.4008770392097,37.20132137771737,0.13099056823139918,0.17910531605773233,212.0,204.0,0.0,0.0,2300.0,3400.0
43,0.4459274591353525,0.6677780013862036,0.40708298445559465,328.5583933528452,41.951997128893176,0.14929536344801841,0.3023247332429483,218.0,198.0,0.0,0.0,2250.0,1750.0
44,0.3108043188076815,0.5574982679862616,0.26873947561825084,164.43191152021117,33.286476082567,0.11207567704568012,0.2166706791711821,62.0,169.0,0.6306421746747549,0.5082496928191379,250.0,2450.0
45,0.21747977319094783,0.46634726673472404,0.22652372627495754,117.28409978942666,26.681065289990762,0.11305536139826594,0.21025862687711916,62.0,208.0,0.0,0.0,-50.0,-300.0
46,0.1897365953548967,0.4355876437123724,0.22246944920455447,330.67592252604913,23.110049857898353,0.0888848071457629,0.20593701405393106,106.0,91.0,0.5881565319130235,0.5440825080951373,1650.0,2050.0
47,0.36794212963535516,0.6065823354132192,0.3307809473120105,141.756156173443,23.32252748942056,0.09074913420007999,0.14261589933227628,167.0,183.0,0.0,0.0,1650.0,1100.0
48,0.30860873739246764,0.555525640625586,0.3179619923041497,706.8316721119019,35.85807408815127,0.12992055829040314,0.18111346762077254,220.0,53.0,0.0,0.0,2350.0,50.0
49,0.16373710390382104,0.4046444166225713,0.19775283328164625,173.7226420032059,28.869211575094965,0.1034738766132436,0.269944335702671,182.0,135.0,0.0,0.0,1600.0,850.0
50,0.1475786844925191,0.38415971221943496,0.1552854267795557,79.06451149268999,7.030122427737562,0.026037490473102082,0.08600808798643367,105.0,103.0,0.0,0.0,1950.0,2050.0
51,0.24995902558773872,0.4999590239086987,0.27659306771344494,331.7552495008985,26.785779867456753,0.10382085219944479,0.16245709753889287,199.0,160.0,0.0,0.0,1300.0,1500.0
