timestamp,v0,v1,v2,v3,v4,v5,v6
2025-06-09T21:49:17.983770,-2.0948869007850144,-5.7568955878627867e-05,0.13862827254521495,-6.249946062250016e-05,-0.0015605783478131322,-2.6415159632986097e-05,0.9999987799948944
2025-06-09T21:49:18.017320,-2.0948906798994167,-6.133806450543692e-05,0.13864369804172966,-3.5449244142601866e-05,-0.001483171314460759,-3.8557567518547175e-05,0.9999988987291523
2025-06-09T21:49:18.061274,-2.094889290018702,-5.8489288317420504e-05,0.13864946623024468,-3.270295112643099e-05,-0.0014209917841625755,-4.728565396616187e-05,0.9999989887379553
2025-06-09T21:49:18.109657,-2.094906481069118,-5.4169703490302344e-05,0.13864983829622618,-3.318452252014988e-05,-0.0014251085794226668,-5.726814656294236e-05,0.9999989823418242
2025-06-09T21:49:18.158237,-2.094925618606968,-4.864004168985031e-05,0.13864853985419417,-3.4379638677261865e-05,-0.0014394391237206533,-6.523325775679837e-05,0.9999989612882964
2025-06-09T21:49:18.208532,-2.094938293143735,-4.557733069701225e-05,0.1386492872493551,-3.3394171955244917e-05,-0.0014317985187255573,-7.476303120041408e-05,0.9999989716236313
2025-06-09T21:49:18.260203,-2.09495829775375,-4.411467974738503e-05,0.1386483663067341,-3.331310094287741e-05,-0.0014426212154558303,-8.611663237630113e-05,0.9999989551585501
2025-06-09T21:49:18.308346,-2.09497875067248,-4.1634321570704785e-05,0.13864861604073137,-3.2343569252000354e-05,-0.0014369957915126314,-0.00010635082067900149,0.9999989613427066
2025-06-09T21:49:18.360122,-2.094994834778231,-3.965035547026142e-05,0.13864916283316103,-3.1073713681193304e-05,-0.001426711969722617,-0.00012523698853505034,0.9999989739210119
2025-06-09T21:49:18.416889,-2.0950110044407246,-3.630415385478961e-05,0.13864961210900886,-3.0817287908051823e-05,-0.0014163968322198574,-0.0001451180225802285,0.9999989859050198
2025-06-09T21:49:18.461487,-2.095028439208748,-3.536994451043813e-05,0.1386503263818007,-3.0952322170754156e-05,-0.001408941126354503,-0.00016307993454956127,0.9999989936653894
2025-06-09T21:49:18.505779,-2.095055157296862,-3.2804994902522596e-05,0.13864876659271563,-3.184719650979845e-05,-0.001436475667085303,-0.00018273079548662276,0.9999989510658851
2025-06-09T21:49:18.559075,-2.095071531706537,-2.9925395324368346e-05,0.13864915693573793,-3.131504168997707e-05,-0.0014288928534033902,-0.00020006494488333657,0.9999989586287577
2025-06-09T21:49:18.608176,-2.0950876262375013,-2.752112826085066e-05,0.13864996250685646,-3.2600454005056456e-05,-0.0014179812259497307,-0.00021784743138592716,0.999998970403945
2025-06-09T21:49:18.656763,-2.095100539496737,-2.6808257820150383e-05,0.13865024767781414,-3.167440740659607e-05,-0.0014179496860841551,-0.00022241649315089823,0.9999989694726307
2025-06-09T21:49:18.709743,-2.0951218559264797,-2.4845175492400153e-05,0.13864866996677172,-3.314643167204746e-05,-0.0014431540963108912,-0.0002374449936813464,0.9999989299131492
2025-06-09T21:49:18.763544,-2.0951353733480227,-2.512902056642888e-05,0.13864851823036847,-3.3092633620616886e-05,-0.0014456765172300113,-0.00024219180834374068,0.9999989251331289
2025-06-09T21:49:18.812666,-2.0951426780450473,-2.6672434213001775e-05,0.13864932818498868,-2.9663983971955e-05,-0.0014205046863143055,-0.00025066503096604897,0.9999989592262217
2025-06-09T21:49:18.863609,-2.0951443086013577,-2.337114127586864e-05,0.13865106208776762,-3.17659945457756e-05,-0.0014037360753468052,-0.0002553325982337893,0.9999989816600898
2025-06-09T21:49:18.913718,-2.0951580459166594,-2.1605431193344726e-05,0.13865026602107552,-3.163226117529729e-05,-0.0014119751427839119,-0.0002607474400350915,0.9999989686676526
2025-06-09T21:49:18.964783,-2.0951730257411905,-2.0800612570250527e-05,0.13864937172838604,-3.2052058717879155e-05,-0.0014232468246620777,-0.0002653891261078762,0.9999989514543269
2025-06-09T21:49:19.010096,-2.095180962427263,-2.081478022153618e-05,0.1386501328948801,-3.096184691074046e-05,-0.0014110028414625643,-0.0002695849168707369,0.9999989677176262
2025-06-09T21:49:19.061202,-2.0951998759324573,-1.8882411519645224e-05,0.13864927637890873,-3.294191458556428e-05,-0.0014307953888186738,-0.0002731568542894607,0.999998938561796
2025-06-09T21:49:19.117322,-2.095208503072862,-1.9908523435988404e-05,0.13864917204003668,-3.1339477112646286e-05,-0.0014253375642456088,-0.0002763560632935531,0.9999989455284398
2025-06-09T21:49:19.168138,-2.0952190922993355,-2.0419411312903596e-05,0.1386498243686155,-3.198702473007284e-05,-0.0014240646517127342,-0.00027908112107245163,0.999998946564658
2025-06-09T21:49:19.211221,-2.095232232751033,-1.8357715305350637e-05,0.13864981478037916,-3.1836739045158335e-05,-0.0014222990579505466,-0.0002822537315781255,0.9999989481917683
2025-06-09T21:49:19.262311,-2.095244419585245,-1.6289516721996967e-05,0.1386494034549125,-3.1778252017247016e-05,-0.0014263620081389154,-0.0002817027898068215,0.9999989425619923
2025-06-09T21:49:19.316695,-2.095251939113171,-1.7203863384616853e-05,0.13865089371075015,-3.1948986894432244e-05,-0.0014080147444991795,-0.0002891875106069722,0.9999989664216286
2025-06-09T21:49:19.359280,-2.0952684449465,-1.5907627225144292e-05,0.13865084433468408,-3.2628611934391654e-05,-0.0014094076221725584,-0.00030149896879732977,0.9999989608014103
2025-06-09T21:49:19.418100,-2.0952933045909274,-1.385245029854789e-05,0.13864959142027275,-3.313328599052236e-05,-0.001425469898341895,-0.0003206685646942349,0.9999989320541428
2025-06-09T21:49:19.463699,-2.0953142068524344,-1.164765935733784e-05,0.1386490448923597,-3.276714025285659e-05,-0.0014321328506943921,-0.00033992483641218124,0.9999989161858718
2025-06-09T21:49:19.514796,-2.0953314048940017,-1.0189944335453149e-05,0.13864889737146435,-3.082161164170179e-05,-0.001428491968733794,-0.0003556650039617871,0.9999989159809767
2025-06-09T21:49:19.566644,-2.09534343240525,-7.878572028259544e-06,0.13865079943188158,-3.289779052651539e-05,-0.0014123830606186404,-0.00037223351334062725,0.999998932766449
2025-06-09T21:49:19.616735,-2.095358189506725,-6.1679836523379785e-06,0.13865114117016547,-3.338584100136287e-05,-0.0014068158354802155,-0.0003800290699786901,0.999998937665684
2025-06-09T21:49:19.664580,-2.0953604966707573,-7.011075610306782e-06,0.13865281109140173,-3.1356913726046834e-05,-0.0013798334848442498,-0.00038366932618628144,0.9999989739365468
