timestamp,v0,v1,v2
2025-06-09T21:49:17.983770,-0.008303797293551796,-0.0011773538838039254,-0.003295871975492193
2025-06-09T21:49:18.017320,-7.558228804604994e-05,-7.538217253618112e-05,0.00030850993029407636
2025-06-09T21:49:18.061274,2.7797614290392403e-05,5.6975523760328364e-05,0.00011536377030052503
2025-06-09T21:49:18.109657,-0.0003438210083128723,8.639169654236321e-05,7.441319629930554e-06
2025-06-09T21:49:18.158237,-0.00038275075699978345,0.00011059323600904066,-2.596884064010041e-05
2025-06-09T21:49:18.208532,-0.0002534907353446414,6.125421985676125e-05,1.494790321854289e-05
2025-06-09T21:49:18.260203,-0.000400092200303348,2.9253018992544326e-05,-1.8418852419932463e-05
2025-06-09T21:49:18.308346,-0.0004090583745952614,4.960716353360494e-05,4.994679945191649e-06
2025-06-09T21:49:18.360122,-0.00032168211501648614,3.9679322008867254e-05,1.0935848593351949e-05
2025-06-09T21:49:18.416889,-0.0003233932498769576,6.692403230943627e-05,8.985516956605544e-06
2025-06-09T21:49:18.461487,-0.00034869536047033023,1.86841868870296e-05,1.4285455836593464e-05
2025-06-09T21:49:18.505779,-0.0005343617622788344,5.1298992158310664e-05,-3.119578170118764e-05
2025-06-09T21:49:18.559075,-0.00032748819349670555,5.7591991563085e-05,7.806860445880304e-06
2025-06-09T21:49:18.608176,-0.00032189061928811213,4.808534127035372e-05,1.6111422370679307e-05
2025-06-09T21:49:18.656763,-0.0002582651847138351,1.4257408814005552e-05,5.703419153624267e-06
2025-06-09T21:49:18.709743,-0.00042632859485358665,3.926164655500459e-05,-3.155422084843984e-05
2025-06-09T21:49:18.763544,-0.0002703484308597126,-5.676901480574533e-06,-3.0347280649545283e-06
2025-06-09T21:49:18.812666,-0.00014609394049180935,-3.08682729314579e-05,1.619909240413442e-05
2025-06-09T21:49:18.863609,-3.261112620833728e-05,6.602585874266272e-05,3.4678055578774014e-05
2025-06-09T21:49:18.913718,-0.0002747463060348565,3.531420165047825e-05,-1.5921333841872887e-05
2025-06-09T21:49:18.964783,-0.00029959649062050175,1.6096372461883984e-05,-1.7885853789700867e-05
2025-06-09T21:49:19.010096,-0.00015873372144703524,-2.8335302571305676e-07,1.5223329881131065e-05
2025-06-09T21:49:19.061202,-0.0003782701038890224,3.864737403781912e-05,-1.7130319427405283e-05
2025-06-09T21:49:19.117322,-0.00017254280809453348,-2.0522238326863606e-05,-2.086777440846177e-06
2025-06-09T21:49:19.168138,-0.00021178452946912785,-1.0217757538303842e-05,1.3046571576413868e-05
2025-06-09T21:49:19.211221,-0.00026280903394848565,4.123392015105918e-05,-1.9176472687565393e-07
2025-06-09T21:49:19.262311,-0.0002437366842400479,4.136397166707341e-05,-8.226509333186804e-06
2025-06-09T21:49:19.316695,-0.00015039055852206218,-1.8286933252397732e-05,2.9805116752990024e-05
2025-06-09T21:49:19.359280,-0.0003301166665803379,2.5924723189451227e-05,-9.875213213828005e-07
2025-06-09T21:49:19.418100,-0.0004971928885488808,4.110353853192803e-05,-2.5058288226631475e-05
2025-06-09T21:49:19.463699,-0.00041804523013944106,4.4095818824201006e-05,-1.0930558260735523e-05
2025-06-09T21:49:19.514796,-0.00034396083134602407,2.915430043769382e-05,-2.950417907210401e-06
2025-06-09T21:49:19.566644,-0.00024055022496582978,4.622744614387209e-05,3.804120834449698e-05
2025-06-09T21:49:19.616735,-0.00029514202950053914,3.421176751843132e-05,6.834765677865562e-06
2025-06-09T21:49:19.664580,-4.614328064533879e-05,-1.6861839159376064e-05,3.339842472527277e-05
2025-06-09T21:49:19.714673,-0.0005207209690016867,2.7234898233129044e-05,-6.576624875909154e-05
2025-06-09T21:49:19.765762,-0.0003349606458069587,5.818023586300026e-05,-1.4317411754505294e-05
2025-06-09T21:49:19.816489,-6.082546684993417e-05,3.442187867467401e-05,5.048840979182678e-05
2025-06-09T21:49:19.870428,-0.0002930126837696889,2.00217239005858e-05,-3.1388128631792966e-05
2025-06-09T21:49:19.916604,-0.00023661976059408119,-3.624958717143292e-05,1.1253466353222663e-05
2025-06-09T21:49:19.961194,-0.0005099160406452086,4.981734410164234e-06,-3.661243242136791e-05
2025-06-09T21:49:20.013808,-0.00023882529334606772,2.2672068250551097e-05,1.7827654036350893e-05
2025-06-09T21:49:20.068342,-0.00040313126775437524,6.63516132877527e-06,-1.5727834637990767e-05
2025-06-09T21:49:20.115644,-0.0003185920360593286,2.741314175813605e-05,4.4267334892156285e-06
2025-06-09T21:49:20.161237,-0.0003342374619830224,3.5386913074235676e-05,6.637764479733299e-06
2025-06-09T21:49:20.208417,-0.00033243851124353796,5.494042041304877e-06,-1.8301829385336532e-07
2025-06-09T21:49:20.265757,-0.0003550821181974584,3.4003662294317393e-06,4.2877669098606574e-06
2025-06-09T21:49:20.309190,-0.00020729701274646573,1.2269697179929323e-05,2.8460864400225994e-05
2025-06-09T21:49:20.364689,-0.00042332454048832346,3.691390044891417e-05,-3.676884569814298e-05
2025-06-09T21:49:20.411197,-0.00023418242408368428,9.182254834007569e-05,2.0241575411361623e-05
2025-06-09T21:49:20.463002,-0.00029340268099531386,5.915682398693542e-05,-5.902391185252931e-06
2025-06-09T21:49:20.511636,-0.00026356984901276803,7.507776810951851e-05,-1.4874436471967734e-05
2025-06-09T21:49:20.564749,-0.0001227624789645887,3.6734239459640516e-05,2.9702198646175404e-05
2025-06-09T21:49:20.612336,-0.0003079564532804113,5.234173131145675e-05,-1.991661894962249e-05
2025-06-09T21:49:20.660425,-0.00024633886279268324,1.617945239748088e-05,2.8625131814896676e-06
2025-06-09T21:49:20.705068,-0.00021683514654924352,1.631773743066212e-05,5.2613182915939305e-06
2025-06-09T21:49:20.764711,-0.00023835159784546534,2.7384058375399045e-05,-8.286251235167796e-06
2025-06-09T21:49:20.812801,-0.00027152207246139426,1.0773225612851264e-06,-7.439108327123023e-06
2025-06-09T21:49:20.865971,-0.00024285771021759217,-6.623510489174079e-07,1.5465299763040008e-07
2025-06-09T21:49:20.913405,-0.00018123632789190935,-2.0994911127549977e-05,2.290009475547361e-05
2025-06-09T21:49:20.956637,-0.00037377074836086877,2.5380524931889356e-05,-2.517927318368418e-05
2025-06-09T21:49:21.013759,-0.00038363459442081194,1.3747782532296261e-05,-2.0365954844225875e-05
2025-06-09T21:49:21.060584,-0.0001917653764405003,1.550075134071413e-05,1.0821541842065407e-05
2025-06-09T21:49:21.112396,-0.0003051135763776358,1.2122480781672358e-05,9.197221281231904e-06
2025-06-09T21:49:21.160130,-0.0002799694562760635,4.529028065796049e-06,1.1393863138531302e-05
2025-06-09T21:49:21.211231,-0.0003618970668917143,1.1220556787509305e-05,-1.396721865720707e-05
2025-06-09T21:49:21.264878,-0.000295287195806182,3.066342330108387e-05,1.2512677027287644e-05
2025-06-09T21:49:21.307598,-0.00022782669987897464,-7.413545968078884e-06,3.282939257553963e-05
2025-06-09T21:49:21.364319,-0.0004333956280166973,1.4300349984398472e-06,-4.1859604458238664e-05
2025-06-09T21:49:21.411405,-0.0003298391624273478,1.5433355960036457e-05,-4.4184333369834405e-06
2025-06-09T21:49:21.466714,-0.00018803341294670872,-5.825248832200402e-06,2.1212800129233322e-05
2025-06-09T21:49:21.513807,-0.0001102173650391336,3.6969134363042425e-07,3.375996605603504e-05
2025-06-09T21:49:21.562743,-0.00038298740006048604,1.8970228246504938e-05,-4.037317078819935e-05
2025-06-09T21:49:21.606822,-0.00026869266002371717,2.6370519433124124e-06,-7.434045286025537e-06
2025-06-09T21:49:21.664920,-0.0001846580152342625,-1.1735061665871908e-05,2.598936656439399e-06
2025-06-09T21:49:21.712758,-0.00011446422814032076,-4.0434720727244595e-06,2.513129157943883e-05
2025-06-09T21:49:21.760374,-0.000274194344340728,-1.2715958862479193e-05,-3.243918829110015e-05
2025-06-09T21:49:21.814990,-0.00020935608845640274,-5.153856453646389e-06,1.5751274150543892e-05
2025-06-09T21:49:21.856631,-0.0001736144711728116,-1.6255960930711155e-06,-3.7330981877969904e-06
2025-06-09T21:49:21.908238,-0.0003413649718986278,-8.977414103285996e-06,1.255218516127421e-05
2025-06-09T21:49:21.958337,-0.00029522385475821977,-1.3499996791386127e-06,2.777181841717713e-06
2025-06-09T21:49:22.016241,-0.00036729744657293395,2.529927918223754e-05,-3.1091703178720564e-06
2025-06-09T21:49:22.062972,-0.00047454659548584743,2.231706105128665e-05,-2.7402816180632783e-05
2025-06-09T21:49:22.117400,-0.0029307377361753595,-0.0003298395774523836,4.894388168308339e-05
2025-06-09T21:49:22.163094,-0.005664156320976943,0.00459336339008389,0.00010351748087444879
2025-06-09T21:49:22.217220,-0.00900010114524008,0.010112818499800042,2.2445655699088185e-05
2025-06-09T21:49:22.261305,-0.014512964424833186,0.016777850629490564,3.55157757542246e-05
2025-06-09T21:49:22.319412,-0.021655466992127614,0.024404379757592205,-0.00011438697301524581
