timestamp,v0,v1
2025-06-09T21:49:17.104703,-8.764097615150398e-06,-2.380523995073278e-05
2025-06-09T21:49:17.126736,-4.025601446035485e-05,-0.00056041521666384
2025-06-09T21:49:17.176514,-3.4557084275121415e-05,-0.0005715952298913668
2025-06-09T21:49:17.225473,-3.463212911599922e-05,-0.0006232044506659696
2025-06-09T21:49:17.276609,-3.769564165124071e-05,-0.0006840161941026238
2025-06-09T21:49:17.326701,-3.321626922264959e-05,-0.0006307301115124025
2025-06-09T21:49:17.379142,2.1347979263888004e-05,-0.0003334619343501008
2025-06-09T21:49:17.426720,2.91354421163806e-05,-0.00040413335602450376
2025-06-09T21:49:17.475617,2.4439306308055798e-05,-0.0004013475992006996
2025-06-09T21:49:17.528110,1.775749380098207e-05,-0.00033578343885770076
2025-06-09T21:49:17.579213,2.3516689379404622e-05,-0.0004352604582002806
2025-06-09T21:49:17.635710,3.056090295065466e-05,-0.0003842825663589553
2025-06-09T21:49:17.679306,2.1782338201431865e-05,-0.0002985684462728433
2025-06-09T21:49:17.728047,1.5759074294786427e-05,-0.00024891430159744286
2025-06-09T21:49:17.776685,-5.752005290170568e-06,-0.000714367933460597
2025-06-09T21:49:17.829286,1.4031376353710634e-05,-0.0007754800594990175
2025-06-09T21:49:17.874736,9.273611916511994e-06,-0.0007309087815976543
2025-06-09T21:49:17.926412,1.7748108648062498e-05,-0.0007193769696122441
2025-06-09T21:49:17.981688,-2.5866341258891173e-06,-3.201681303956173e-05
2025-06-09T21:49:18.062780,-1.1383769089716433e-05,-5.1969932503023336e-05
2025-06-09T21:49:18.123672,-4.676375070147291e-05,-0.0006006360658746647
2025-06-09T21:49:18.166753,-5.713323774041487e-05,-0.000806871889728991
2025-06-09T21:49:18.234656,-5.570790091291074e-05,-0.0008854487979694232
2025-06-09T21:49:18.296295,-6.709391234443256e-05,-0.0009637960708018182
2025-06-09T21:49:18.341084,-5.1455658200463846e-05,-0.0008184735445517945
2025-06-09T21:49:18.405865,1.1265064911621349e-05,-0.0010404399325434025
2025-06-09T21:49:18.464995,2.112795425994295e-05,-0.0011289095922872461
2025-06-09T21:49:18.511289,1.9442310648118938e-05,-0.0011348508547677268
2025-06-09T21:49:18.559075,1.0339227878844325e-05,-0.0010731709959975412
2025-06-09T21:49:18.620198,3.3550477336684755e-05,-0.0011868512330990388
2025-06-09T21:49:18.665738,3.491274099996262e-05,-0.0009274430104210408
2025-06-09T21:49:18.713838,4.07542686178245e-05,-0.0010557751628683173
