t,x,y,theta
369.9857656000022,-0.006868281692733907,-0.2956033205026902,-2.9854236731548216
370.0269141000026,-0.006856418148295682,-0.2956031343772727,-2.98543172904096
370.0868560000017,-0.006844554366339964,-0.29560294832526746,-2.98543978452382
370.1333461000031,-0.006832690347940476,-0.2956027623466883,-2.985447839604758
370.1837721999982,-0.006820826093823238,-0.2956025764416246,-2.9854558942852885
370.2289254999996,-0.006808961599859426,-0.2956023906100945,-2.985463948563592
370.2857640000002,-0.006797096872050654,-0.2956022048523157,-2.985472002438629
370.3302247000029,-0.006785231907597956,-0.2956020191684864,-2.985480055908734
370.3858689000044,-0.006773366707254319,-0.29560183355843667,-2.9854881089789527
370.4343119000041,-0.006761501272308505,-0.2956016480224616,-2.985496161643331
370.4874110000019,-0.006749635599544171,-0.29560146256062725,-2.9855042139033325
370.5346273000032,-0.006737769692568792,-0.29560127717295603,-2.9855122657601614
370.5790252000006,-0.006725903552001905,-0.2956010918596793,-2.985520317211003
370.6367253999997,-0.006714037177609976,-0.29560090662092203,-2.9855283682560163
370.6859766999987,-0.00670217056673141,-0.2956007214563111,-2.985536418899174
370.72636780000175,-0.006690303723252129,-0.29560053636646855,-2.985544469134408
370.7817322999981,-0.006678436645632379,-0.295600351351312,-2.9855525189636873
370.83566370000335,-0.006666569334576725,-0.29560016641101555,-2.9855605683870317
370.8792121000006,-0.006654701790516834,-0.29559998154545036,-2.9855686174048093
370.9361502000029,-0.0066428340131856195,-0.2955997967549197,-2.985576666014318
370.9804604000019,-0.0066309660037746545,-0.29559961203937124,-2.9855847142174556
371.0265197999979,-0.006619097761156785,-0.295599427398968,-2.9855927620132827
371.0824892000019,-0.00660722928494057,-0.2955992428339116,-2.9856008094003244
371.13734470000054,-0.006595360578662997,-0.29559905834426103,-2.9856088563798577
371.18717910000123,-0.006583491639789463,-0.295598873929806,-2.9856169029511768
371.2339006999973,-0.006571622469839793,-0.2955986895911703,-2.9856249491122315
371.2853774000032,-0.006559753068558494,-0.2955985053280718,-2.985632994863728
371.3368682,-0.006547883435535545,-0.2955983211407386,-2.985641040204526
371.38276710000355,-0.006536013573694743,-0.295598137029209,-2.9856490851372994
371.4271607999981,-0.006524143479459151,-0.295597952993485,-2.9856571296593084
371.4799563999986,-0.006512273156242395,-0.29559776903395896,-2.9856651737707436
371.5382346000042,-0.0065004026014215165,-0.2955975851503014,-2.985673217470966
371.57844230000046,-0.006488531818777697,-0.2955974013431147,-2.985681260758257
371.63651299999765,-0.0064766608054528385,-0.2955972176120008,-2.9856893036365038
371.6851272999993,-0.006464789560781258,-0.29559703395715664,-2.9856973461010528
371.7360836000007,-0.006452918089865605,-0.2955968503791534,-2.985705388153725
371.7887804999991,-0.006441046388100789,-0.2955966668774669,-2.985713429794446
371.8344866000043,-0.00642917445951083,-0.2955964834525515,-2.985721471022665
371.87762260000454,-0.006417302302200896,-0.29559630010435034,-2.98572951183636
371.935719000001,-0.006405429915342435,-0.29559611683277226,-2.9857375522384433
371.9854059999998,-0.006393557301016496,-0.2955959336383749,-2.9857455922266003
372.0260819000032,-0.006381684459893834,-0.2955957505210096,-2.9857536317995583
372.0836943000031,-0.006369811391445289,-0.29559556748061344,-2.9857616709589387
372.13499690000026,-0.006357938095074965,-0.2955953845175714,-2.985769709700974
372.1818491000013,-0.0063460645717196285,-0.2955952016317527,-2.985777748029106
372.23486910000065,-0.006334190821069942,-0.2955950188233262,-2.985785785942049
372.2778718000045,-0.006322316845404794,-0.2955948360925683,-2.985793823437706
372.3365877000033,-0.006310442643628271,-0.29559465343933844,-2.9858018605168923
372.38117590000184,-0.006298568213340379,-0.29559447086355006,-2.985809897182414
372.42974949999916,-0.006286693559339187,-0.29559428836562085,-2.9858179334306763
372.48161580000306,-0.006274818678277899,-0.29559410594558033,-2.9858259692599294
372.5299367999978,-0.006262943573931032,-0.2955939236035493,-2.98583400467411
